Subject,Title,Price,Rating,ReviewCount,URL,Sold By
mouse,"HP M120 Wireless Mouse, USB-A Nano dongle, 2.4 GHz Wireless Connection, 6 Buttons, Up to 1600 dpi, Optical Sensor, Ergonomic Design, 12-Month Battery Life, 3-Year Warranty, 60g±5%, Black, 7J4G4AA",₹429,3.3,158,https://www.amazon.in/HP-Wireless-Connection-Ergonomic-7J4G4AA/dp/B0827J11YM/ref=sr_1_13?keywords=mouse&qid=1696919471&sr=8-13,Appario Retail Private Ltd
mouse,"Ant Esports GM40 Wired Optical Gaming Mouse with RGB LED, Lightweight and Ergonomic Design, DPI Upto 2400, Compatible with Windows and Mac",₹139,4.1,"1,790",https://www.amazon.in/Ant-Esports-Lightweight-Ergonomic-Compatible/dp/B0BBQV5JWJ/ref=sr_1_14?keywords=mouse&qid=1696919471&sr=8-14,Electronics Bazaar Store
mouse,HP M070 Ergonomic Wired Mouse/ 1.5M USB Cable/Optical Engine/Accurate Positioning/ 1600 DPI with Adjustable DPI 1000-1200/3 Years Warranty,₹219,3.8,27,https://www.amazon.in/HP-Ergonomic-Positioning-Adjustable-1000-1200/dp/B0C8B8M3TV/ref=sr_1_15?keywords=mouse&qid=1696919471&sr=8-15,Appario Retail Private Ltd
mouse,"Lenovo 300 Wired Plug & Play USB Mouse, High Resolution 1600 DPI Optical Sensor, 3-Button Design with clickable Scroll Wheel, Ambidextrous, Ergonomic Mouse for Comfortable All-Day Grip (GX30M39704)",₹229,4.4,"28,038",https://www.amazon.in/Lenovo-GX30M39704-300-USB-Mouse/dp/B073BRXPZX/ref=sr_1_16?keywords=mouse&qid=1696919471&sr=8-16,Appario Retail Private Ltd
mouse,"Logitech B100 Wired USB Mouse, 3 yr Warranty, 800 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black",₹298,4.3,"34,816",https://www.amazon.in/Logitech-B100-Optical-Mouse-Black/dp/B003L62T7W/ref=sr_1_17?keywords=mouse&qid=1696919478&sr=8-17,Appario Retail Private Ltd
mouse,"Lenovo 300 Wireless Compact Mouse, 1000 DPI Optical sensor, 2.4GHz Wireless Nano USB, 10m range, 3-button(left,right,scroll) upto 3M left/right clicks & 1yr battery, Ambidextrous, Ergonomic GX30K79401",₹399,4.3,"14,852",https://www.amazon.in/Lenovo-Wireless-Compact-Mouse-GX30K79401/dp/B01EFVDDH6/ref=sr_1_18?keywords=mouse&qid=1696919478&sr=8-18,Appario Retail Private Ltd
mouse,"Logitech MX Master 2S Wireless Mouse, Multi-Device, Bluetooth or 2.4GHz Wireless with USB Unifying Receiver, 4000 DPI Any Surface Tracking, 7 Buttons, Fast Rechargeable, Laptop/PC/Mac/iPad OS - Black","₹4,995",4.4,"15,101",https://www.amazon.in/Logitech-Wireless-Cross-Computer-Control-Sharing/dp/B071YZJ1G1/ref=sr_1_19?keywords=mouse&qid=1696919478&sr=8-19,Appario Retail Private Ltd
mouse,"Redgear A-17 Gaming Mouse with Upto 6400 DPI, RGB Lighting and Braided Cable(Black)",₹699,4.2,"2,714",https://www.amazon.in/Redgear-Gaming-Mouse-Lighting-Braided/dp/B097RH8XTG/ref=sr_1_20?keywords=mouse&qid=1696919478&sr=8-20,Appario Retail Private Ltd
mouse,"Logitech M235 Wireless Mouse, 1000 DPI Optical Tracking, 12 Month Life Battery, Compatible with Windows, Mac, Chromebook/PC/Laptop",₹598,4.4,"58,085",https://www.amazon.in/Logitech-M235-Wireless-Mouse-Grey/dp/B004IO5BMQ/ref=sr_1_21?keywords=mouse&qid=1696919478&sr=8-21,Appario Retail Private Ltd
mouse,"Portronics Toad One Wireless 2.4GHz & Bluetooth Connectivity Optical Mouse with 7 Colors RGB Lights, Rechargeable Battery(Black)",₹548,4.3,"1,172",https://www.amazon.in/Portronics-Wireless-Bluetooth-Connectivity-Rechargeable/dp/B0BG8LZNYL/ref=sr_1_22?keywords=mouse&qid=1696919478&sr=8-22,Appario Retail Private Ltd
mouse,"HP M270 Backlit USB Wired Gaming Mouse with 6 Buttons, 4-Speed Customizable 2400 DPI, Ergonomic Design, Breathing LED Lighting, Metal Scroll Wheel, Lightweighted / 3 Years Warranty (7ZZ87AA), Black",₹411,4.2,"3,304",https://www.amazon.in/HP-M270-Gaming-Mouse-7ZZ87AA/dp/B08497Z1MQ/ref=sr_1_23?keywords=mouse&qid=1696919478&sr=8-23,Appario Retail Private Ltd
mouse,"Logitech MX Master 3S - Wireless Performance Mouse with Ultra-Fast Scrolling, Ergo, 8K DPI, Track on Glass, Quiet Clicks, USB-C, Bluetooth, Windows, Linux, Chrome-Graphite","₹8,999",4.5,"3,876",https://www.amazon.in/Logitech-MX-Master-3S-Chrome-Graphite/dp/B0B11LJ69K/ref=sr_1_24?keywords=mouse&qid=1696919478&sr=8-24,Appario Retail Private Ltd
mouse,"HP 150 Wireless Mouse,1600 DPI, 10 m Range, 2.4 GHz USB dongle for Instant connectivity, Ambidextrous, Ergonomic Design, Rubber Grip for All Day Comfort, 12 Month Battery, 3 Years Warranty",₹429,4.0,"6,401",https://www.amazon.in/HP-150-Ambidextrous-Wireless-Mouse/dp/B09GB5B4BK/ref=sr_1_25?keywords=mouse&qid=1696919478&sr=8-25,Appario Retail Private Ltd
mouse,HP Z3700 Wireless Optical Mouse with USB Receiver and 2.4GHz Wireless Connection/ 1200DPI / 16 Months Long Battery Life/Ambidextrous and Slim Design (Modern Gold),₹799,4.2,"25,348",https://www.amazon.in/HP-Z3700-Wireless-Mouse-Modern/dp/B01KK0HU3Y/ref=sr_1_26?keywords=mouse&qid=1696919478&sr=8-26,Appario Retail Private Ltd
mouse,"Dell WM118 Wireless Mouse, 2.4 Ghz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, Pc/Mac/Laptop - Black.",₹539,4.3,"11,570",https://www.amazon.in/DELL-WM118-Wireless-Optical-Mouse/dp/B07JPX9CR7/ref=sr_1_27?keywords=mouse&qid=1696919478&sr=8-27,Appario Retail Private Ltd
mouse,"ZEBRONICS Zeb-Dash Plus 2.4GHz High Precision Wireless Mouse with up to 1600 DPI, Power Saving Mode, Nano Receiver and Plug & Play Usage - USB",₹199,3.6,"15,070",https://www.amazon.in/ZEBRONICS-Zeb-Dash-Wireless-Receiver-Buttons/dp/B08YDFX7Y1/ref=sr_1_28?keywords=mouse&qid=1696919478&sr=8-28,Appario Retail Private Ltd
